T22,Land,,,,,
4,Afghanistan,2017,Permanent crops (thousand hectares),211.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2017,Forest cover (thousand hectares),1350.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2017,Arable land (% of total land area),11.7927,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2017,Permanent crops (% of total land area),0.3232,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2017,Forest cover (% of total land area),2.0678,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
4,Afghanistan,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),5.7403,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
4,Afghanistan,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),5.7403,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
8,Albania,2005,Land area (thousand hectares),2740.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Arable land (thousand hectares),538.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Permanent crops (thousand hectares),121.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Forest cover (thousand hectares),782.4000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Arable land (% of total land area),19.6350,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Permanent crops (% of total land area),4.4161,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Forest cover (% of total land area),28.5547,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),31.7073,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
8,Albania,2010,Land area (thousand hectares),2740.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Arable land (thousand hectares),626.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Permanent crops (thousand hectares),70.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Forest cover (thousand hectares),776.3000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Arable land (% of total land area),22.8467,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Permanent crops (% of total land area),2.5547,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Forest cover (% of total land area),28.3321,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),47.2193,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
8,Albania,2017,Land area (thousand hectares),2740.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Arable land (thousand hectares),606.9000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Permanent crops (thousand hectares),84.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Forest cover (thousand hectares),771.5000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Arable land (% of total land area),22.1496,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Permanent crops (% of total land area),3.0730,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Forest cover (% of total land area),28.1569,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
8,Albania,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),55.9444,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
8,Albania,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),57.1756,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
12,Algeria,2005,Land area (thousand hectares),238174.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Arable land (thousand hectares),7511.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Permanent crops (thousand hectares),852.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Forest cover (thousand hectares),1536.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Arable land (% of total land area),3.1536,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Permanent crops (% of total land area),0.3577,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Forest cover (% of total land area),0.6449,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),16.6339,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
12,Algeria,2010,Land area (thousand hectares),238174.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Arable land (thousand hectares),7502.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Permanent crops (thousand hectares),909.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Forest cover (thousand hectares),1918.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Arable land (% of total land area),3.1498,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Permanent crops (% of total land area),0.3817,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Forest cover (% of total land area),0.8053,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),16.6339,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
12,Algeria,2017,Land area (thousand hectares),238174.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Arable land (thousand hectares),7470.8071,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Permanent crops (thousand hectares),1012.6190,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Forest cover (thousand hectares),1956.0000,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Arable land (% of total land area),3.1367,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Permanent crops (% of total land area),0.4252,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Forest cover (% of total land area),0.8212,Estimate.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
12,Algeria,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),16.6339,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
12,Algeria,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),16.6339,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
